Designator,Mid X,Mid Y,Rotation,Layer
ANT1,15.935,-1.065,0.0,top
C1,26.5075,-3.1225,0.0,top
C10,23.0,-9.2,90.0,top
C11,25.7,-10.9,0.0,top
C12,29.1,-8.5,0.0,top
C13,29.1,-10.5,0.0,top
C2,28.855,-5.0825,0.0,top
C29,11.555,-2.0,180.0,top
C3,-6.695,-6.5,90.0,top
C32,-1.28088,-9.30574,225.0,top
C33,-1.78588,-8.80074,45.0,top
C38,-2.659606,-7.949466,45.0,top
C39,-0.8,-3.8,45.0,top
C4,11.555,-1.21,0.0,top
C40,5.25,-1.0,225.0,top
C41,-1.8,-4.3,315.0,top
C42,7.225,-3.475,135.0,top
C43,7.05,-0.85,0.0,top
C44,5.7,-11.1,225.0,top
C45,0.77,-11.39,225.0,top
C46,-3.175,-7.425,45.0,top
C47,2.0,-1.0,45.0,top
C48,1.0,-2.0,225.0,top
C5,-8.685,-4.867501,0.0,top
C50,10.791048,-4.303953,45.0,top
C51,10.3,-3.8,45.0,top
C6,15.525,-3.75,0.0,top
C7,34.8,-3.65,90.0,top
C8,31.405,-5.51,90.0,top
C9,31.405,-6.915,270.0,top
IC1,34.275,-6.713,180.0,top
IC2,25.7,-8.7,180.0,top
L5,9.15,-3.1,135.0,top
R1,-7.395,-8.25,180.0,top
R10,33.95,-9.35,0.0,top
R11,1.262678,-11.887322,225.0,top
R3,27.6,-6.7075,270.0,top
R5,37.52,-6.25,180.0,top
R6,37.515,-6.95,180.0,top
R7,37.515,-7.65,180.0,top
R8,35.35,-9.35,180.0,top
R9,32.55,-9.35,0.0,top
U2,-8.345,-6.6025,0.0,top
U3,26.6875,-4.745,0.0,top
U4,3.344734,-6.565,45.0,top
X1,-1.25,-1.65,90.0,top
X2,-3.29854,-10.693349,135.0,top
